cluster,size,percentage,avg_calories,avg_protein_g,avg_fat_g,avg_carbohydrates_g,avg_fiber_g
0,96,19.834710743801654,0.4879976851851852,0.2249133843909555,0.2458625,0.37875,0.1667284098151689
1,296,61.15702479338842,0.09519894894894891,0.06525297179017088,0.02266216216216216,0.10397297297297296,0.05637951527052861
2,87,17.97520661157025,0.2417496807151979,0.5356523051384592,0.11933333333333337,0.015620689655172416,0.00630755368013889
3,5,1.0330578512396695,0.8202222222222222,0.18468271334792125,0.7466,0.047,0.12925430210325048
